Firm	Plan Type	Account Size	Drawdown Type	Activation Fee	Profit Target	Max Drawdown	Max Contract	Consistency Rule Eval, Funded	Payout Freq.	Profit Split	Price	Promo CODE	Account Category	Min Trading Days	Daily Drawdown	News Trading	List Price	Discount %	Price Note
Lucid Trading	Flex	25k	EOD	None	$1,250	$1,000	2 / 20	50% / None	Every 5 Days	90%	$55	KAGE	Challenge	2	None	both	$79	30	
Lucid Trading	Direct	25k	EOD	None	— (Straight to Funded)	$1,000	2 / 20	None / 20%	Every 8 Days	90%	$230	KAGE	S2F	8	None	both	$329	30	
Lucid Trading	Pro	25k	EOD	None	$1,250	$1,000	2 / 20	None / 40%	Every 3 Days	90%	$76	KAGE	Challenge	1	None	both	$108	30	
Lucid Trading	Daily	25k	EOD	None	$1,250	$1,000	2 / 20	50% / None	Every 1 Day	90%	$73	KAGE	Challenge	2	$600	none	$122	40	$13 less with Intraday drawdown
Lucid Trading	Daily Intraday	25k	Intraday	None	$1,250	$1,000	2 / 20	50% / None	Every 1 Day	90%	$60	KAGE	Challenge	2	$600	none	$100	40	$15 more with DLL off
Lucid Trading	Flex	50k	EOD	None	$3,000	$2,000	4 / 40	50% / None	Every 5 Days	90%	$95	KAGE	Challenge	2	None	both	$136	30	
Lucid Trading	Pro	50k	EOD	None	$3,000	$2,000	4 / 40	None / 40%	Every 3 Days	90%	$120	KAGE	Challenge	1	$1,200	both	$172	30	
Lucid Trading	Daily	50k	EOD	None	$3,000	$2,000	4 / 40	50% / None	Every 1 Day	90%	$99	KAGE	Challenge	2	$1,200	none	$165	40	$17 less with Intraday drawdown
Lucid Trading	Daily Intraday	50k	Intraday	None	$3,000	$2,000	4 / 40	50% / None	Every 1 Day	90%	$82	KAGE	Challenge	2	$1,200	none	$136	40	$20 more with DLL off
Lucid Trading	Direct	50k	EOD	None	— (Straight to Funded)	$2,000	4 / 40	None / 20%	Every 10 Days	90%	$361	KAGE	S2F	10	$1,200	both	$515	30	
Lucid Trading	Direct	100k	EOD	None	— (Straight to Funded)	$3,500	6 / 60	None / 20%	Every 5 Days	90%	$490	KAGE	S2F	None	$2,100	both	$700	30	
Lucid Trading	Flex	100k	EOD	None	$6,000	$3,000	6 / 60	50% / None	Every 5 Days	90%	$181	KAGE	Challenge	2	None	both	$258	30	
Lucid Trading	Daily	100k	EOD	None	$6,000	$3,000	6 / 60	50% / None	Every 1 Day	90%	$167	KAGE	Challenge	2	$1,800	none	$279	40	$30 less with Intraday drawdown
Lucid Trading	Daily Intraday	100k	Intraday	None	$6,000	$3,000	6 / 60	50% / None	Every 1 Day	90%	$137	KAGE	Challenge	2	$1,800	none	$229	40	$35 more with DLL off
Lucid Trading	Pro	100k	EOD	None	$6,000	$3,000	6 / 60	None / 40%	Every 3 Days	90%	$190	KAGE	Challenge	1	$1,800	both	$272	30	
Lucid Trading	Direct	150k	EOD	None	— (Straight to Funded)	$5,000	10 / 100	None / 20%	Every 5 Days	90%	$585	KAGE	S2F	None	$3,000	both	$836	30	
Lucid Trading	Daily	150k	EOD	None	$9,000	$4,500	10 / 100	50% / None	Every 1 Day	90%	$232	KAGE	Challenge	2	$2,700	none	$386	40	$39 less with Intraday drawdown
Lucid Trading	Daily Intraday	150k	Intraday	None	$9,000	$4,500	10 / 100	50% / None	Every 1 Day	90%	$193	KAGE	Challenge	2	$2,700	none	$322	40	$45 more with DLL off
Lucid Trading	Pro	150k	EOD	None	$9,000	$4,500	10 / 100	None / 40%	Every 3 Days	90%	$255	KAGE	Challenge	1	$2,700	both	$365	30	
Lucid Trading	Flex	150k	EOD	None	$9,000	$4,500	10 / 100	50% / None	Every 5 Days	90%	$260	KAGE	Challenge	2	None	both	$372	30	
Tradeify	Growth	25k	EOD	None	$1,500	$1,000	1 / 10	None / 35%	5 days with Minimum profits of $100	90%	$59.40	KAGE	Challenge	None	None	both			
Tradeify	Select Daily	25k	EOD	None	$1,500	$1,000	1 / 10	40%	Daily eligibility after meeting buffer requirement	90%	$65.40	KAGE	Challenge	None	None	both			
Tradeify	Select Flex	25k	EOD	None	$1,500	$1,000	1 / 10	40%	5 Winning Days | 25K Account: $100 minimum profit per day	90%	$65.40	KAGE	Challenge	None	None	both			
Tradeify	Lightning	25k	EOD	None	— (Instant Funded)	$1,000	1 / 10	None / 20%	Not Fixed (Payout Profit Goals are the profits required between payout requests.)	90%	$207	KAGE	S2F	None	None	both			
Tradeify	Growth	50k	EOD	None	$3,000	$2,000	4 / 40	None / 35%	5 days with Minimum profits of $150	90%	$87	KAGE	Challenge	None	None	both			
Tradeify	Select Daily	50k	EOD	None	$3,000	$2,000	4 / 40	40%	Daily eligibility after meeting buffer requirement	90%	$99	KAGE	Challenge	None	None	both			
Tradeify	Select Flex	50k	EOD	None	$3,000	$2,000	4 / 40	40%	5 Winning Days | 50K Account: $150 minimum profit per day	90%	$99	KAGE	Challenge	None	None	both			
Tradeify	Lightning	50k	EOD	None	— (Instant Funded)	$2,000	4 / 40	None / 20%	Not Fixed (Payout Profit Goals are the profits required between payout requests.)	90%	$295.20	KAGE	S2F	None	None	both			
Tradeify	Growth	100k	EOD	None	$6,000	$3,500	8 / 80	None / 35%	5 days with Minimum profits of $200	90%	$153	KAGE	Challenge	None	None	both			
Tradeify	Select Daily	100k	EOD	None	$6,000	$3,000	8 / 80	40%	Daily eligibility after meeting buffer requirement	90%	$159	KAGE	Challenge	None	None	both			
Tradeify	Select Flex	100k	EOD	None	$6,000	$3,000	8 / 80	40%	5 Winning Days | 100K Account: $200 minimum profit per day	90%	$159	KAGE	Challenge	None	None	both			
Tradeify	Lightning	100k	EOD	None	— (Instant Funded)	$4,000	8 / 80	None / 20%	Not Fixed (Payout Profit Goals are the profits required between payout requests.)	90%	$396	KAGE	S2F	None	None	both			
Tradeify	Growth	150k	EOD	None	$9,000	$5,000	12 / 120	None / 35%	5 days with Minimum profits of $250	90%	$221.40	KAGE	Challenge	None	None	both			
Tradeify	Select Daily	150k	EOD	None	$9,000	$4,500	12 / 120	40%	Daily eligibility after meeting buffer requirement	90%	$221.40	KAGE	Challenge	None	None	both			
Tradeify	Select Flex	150k	EOD	None	$9,000	$4,500	12 / 120	40%	5 Winning Days | 150K Account: $250 minimum profit per day	90%	$221.40	KAGE	Challenge	None	None	both			
Tradeify	Lightning	150k	EOD	None	— (Instant Funded)	$5,250	12 / 120	None / 20%	Not Fixed (Payout Profit Goals are the profits required between payout requests.)	90%	$477.60	KAGE	S2F	None	None	both			
Take Profit Trader	Test	25k	EOD	$130.00 | Free when using KAGE code	$1,500	$1,500	3 / 30	50% / None	Daily Payout	80%	$90.00	KAGE	Challenge	None	None	both			
Take Profit Trader	Test	50k	EOD	$130.00 | Free when using KAGE code	$3,000	$2,000	6 / 60	50% / None	Daily Payout	80%	$102.00	KAGE	Challenge	None	None	both			
Take Profit Trader	Test	75k	EOD	$130.00 | Free when using KAGE code	$4,500	$2,500	9 / 90	50% / None	Daily Payout	80%	$147	KAGE	Challenge	None	None	both			
Take Profit Trader	Test	100k	EOD	$130.00 | Free when using KAGE code	$6,000	$3,000	12 / 120	50% / None	Daily Payout	80%	$198	KAGE	Challenge	None	None	both			
Take Profit Trader	Test	150k	EOD	$130.00 | Free when using KAGE code	$9,000	$4,500	15 / 150	50% / None	Daily Payout	80%	$216	KAGE	Challenge	None	None	both			
My Funded Futures	Builder	25k	EOD	None	$1,500	$1,000	2 / 20	None / 50%	Every 48 hours	80%	$52.50	KAGE	Challenge	None	None	both			
My Funded Futures	Rapid	25k	EOD(intraday trailing)	None	$1,500	$1,000	3 / 30	50%	24h after first trade	90%	$54.50	KAGE	Challenge	None	None	both			
My Funded Futures	Flex	25k	EOD	None	$1,500	$1,000	2 / 20	50%	5 winning days	80%	$85.50	KAGE	Challenge	None	None	both			
My Funded Futures	Builder	50k	EOD	None	$3,000	$2000 (Default) or $1500 (Add-on)	4 / 40	None / 50%	Every 48 hours	80%	$76.50	KAGE	Challenge	None	None	both			
My Funded Futures	Rapid	50k	EOD(intraday trailing)	None	$3,000	$2,000	5 / 50	50%	24h after first trade	90%	$78.50	KAGE	Challenge	None	None	both			
My Funded Futures	Pro	50k	EOD	None	$3,000	$2,000	3 / 30	50%	14 Days	80%	$113.50	KAGE	Challenge	None	None	both			
My Funded Futures	Flex	50k	EOD	None	$3,000	$2,000	3 / 30	50%	5 winning days	80%	$137.70	KAGE	Challenge	None	None	both			
My Funded Futures	Rapid	100k	EOD(intraday trailing)	None	$6,000	$3,000	8 / 80	50%	24h after first trade	90%	$133.50	KAGE	Challenge	None	None	both			
My Funded Futures	Pro	100k	EOD	None	$6,000	$3,000	6 / 60	50%	14 Days	80%	$172	KAGE	Challenge	None	None	both			
My Funded Futures	Rapid	150k	EOD	None	$9,000	$4,500	10 / 100	50%	24h after first trade	90%	$173.50	KAGE	Challenge	None	None	both			
My Funded Futures	Pro	150k	EOD(intraday trailing)	None	$9,000	$4,500	9 / 90	50%	14 Days	80%	$238.50	KAGE	Challenge	None	None	both			
Apex Trader Funding	Intraday Standard	25k	Intraday	$69	$1,500	$1,000	4 / 40	None / 50%	5 winning days of $100	100%	$19.90	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD Standard	25k	EOD	$89	$1,500	$1,000	4 / 40	None / 50%	5 winning days of $100	100%	$39	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday No Activation Fee	25k	Intraday	None	$1,500	$1,000	4 / 40	None / 50%	5 winning days of $100	100%	$69	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD No Activation Fee	25k	EOD	None	$1,500	$1,000	4 / 40	None / 50%	5 winning days of $100	100%	$89	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday Standard	50k	Intraday	$79	$3,000	$2,000	6 / 60	None / 50%	5 winning days of $200	100%	$24.90	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD Standard	50k	EOD	$99	$3,000	$2,000	6 / 60	None / 50%	5 winning days of $250	100%	$45	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday No Activation Fee	50k	Intraday	None	$3,000	$2,000	6 / 60	None / 50%	5 winning days of $200	100%	$49	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD No Activation Fee	50k	EOD	None	$3,000	$2,000	6 / 60	None / 50%	5 winning days of $250	100%	$109	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday Standard	100k	Intraday	$99	$6,000	$3,000	8 / 80	None / 50%	5 winning days of $250	100%	$39.90	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD Standard	100k	EOD	$119	$6,000	$3,000	8 / 80	None / 50%	5 winning days of $300	100%	$59	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday No Activation Fee	100k	Intraday	None	$6,000	$3,000	8 / 80	None / 50%	5 winning days of $250	100%	$109	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD No Activation Fee	100k	EOD	None	$6,000	$3,000	8 / 80	None / 50%	5 winning days of $300	100%	$139	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday Standard	150k	Intraday	$129	$9,000	$4,000	12 / 120	None / 50%	5 winning days of $300	100%	$59.90	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD Standard	150k	EOD	$149	$9,000	$4,000	12 / 120	None / 50%	5 winning days of $350	100%	$109	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	Intraday No Activation Fee	150k	Intraday	None	$9,000	$4,000	12 / 120	None / 50%	5 winning days of $300	100%	$169	KAGE	Challenge	1	$1,000	both			
Apex Trader Funding	EOD No Activation Fee	150k	EOD	None	$9,000	$4,000	12 / 120	None / 50%	5 winning days of $350	100%	$229	KAGE	Challenge	1	$1,000	both			
Legends Trading	Apprentice	50k	EOD	$99	$3,000	$2,000	2 / 20	None / 35%	Weekly (7 days of +$200)	90%	$29.50	KAGE	Challenge	None	None	none			
